year,all_fatalities
1908,1.0
1909,1.0
1912,5.0
1913,43.0
1915,36.0
1916,108.0
1917,138.0
1918,65.0
1919,23.0
1920,25.0
1921,64.0
1922,89.0
1923,78.0
1924,20.0
1925,34.0
1926,36.0
1927,52.0
1928,113.0
1929,133.0
1930,157.0
1931,102.0
1932,73.0
1933,206.0
1934,140.0
1935,244.0
1936,271.0
1937,251.0
1938,444.0
1939,168.0
1940,253.0
1941,277.0
1942,497.0
1943,727.0
1944,710.0
1945,1373.0
1946,1327.0
1947,1314.0
1948,1265.0
1949,1163.0
1950,1494.0
1951,1258.0
1952,1274.0
1953,1317.0
1954,958.0
1955,913.0
1956,991.0
1957,1115.0
1958,1384.0
1959,1141.0
1960,1684.0
1961,1539.0
1962,2139.0
1963,1403.0
1964,1339.0
1965,1780.0
1966,1648.0
1967,1605.0
1968,1899.0
1969,1928.0
1970,1920.0
1971,1784.0
1972,2796.0
1973,2323.0
1974,2242.0
1975,1460.0
1976,1842.0
1977,2102.0
1978,1444.0
1979,1838.0
1980,1717.0
1981,1168.0
1982,1708.0
1983,1564.0
1984,921.0
1985,2590.0
1986,1405.0
1987,1632.0
1988,1945.0
1989,2210.0
1990,1125.0
1991,1725.0
1992,2017.0
1993,1508.0
1994,1806.0
1995,1490.0
1996,2314.0
1997,1632.0
1998,1508.0
1999,863.0
2000,1430.0
2001,1336.0
2002,1371.0
2003,1279.0
2004,662.0
2005,1294.0
2006,1118.0
2007,888.0
2008,716.0
2009,1083.0
2010,1044.0
2011,720.0
2012,587.0
2013,287.0
2014,1142.0
2015,759.0
2016,515.0
2017,214.0
2018,874.0
2019,305.0
2020,355.0
2021,185.0
2022,189.0
2023,102.0
2024,354.0
